codigo,codigos_alternos,slug,nombre,marca,linea,concentracion,genero,familia,precio_100ml,precios,rebaja,mls,salida,corazon,fondo,corta,larga,badges,duracion,estela,ocasion,destacado,anio,origen,agotado,visible,nota
0001,,lattafa-yara,Yara,lattafa,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,Más vendido,3,3,,si,,,,si,
0002,,lattafa-asad,Asad,lattafa,,Eau de Parfum,Hombre,Especiado,569,100:569,,100,,,,,,Más vendido,3,3,,si,,,,si,
0003,,lattafa-asad-zanzibar,Asad Zanzibar,lattafa,,Eau de Parfum,Hombre,Especiado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0004,,lattafa-yara-candy,Yara Candy,lattafa,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,,3,3,,,,,,si,
0005,,lattafa-yara-tous,Yara Tous,lattafa,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,Más vendido,3,3,,si,,,,si,
0006,,lattafa-yara-moi,Yara Moi,lattafa,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0007,,lattafa-khamrah,Khamrah,lattafa,,Eau de Parfum,Unisex,Oriental,609,100:609,,100,,,,,,Más vendido,3,3,,si,,,,si,
0008,,lattafa-khamrah-qahwa,Khamrah Qahwa,lattafa,,Eau de Parfum,Unisex,Gourmand,609,100:609,,100,,,,,,,3,3,,,,,,si,
0009,,lattafa-fakhar-men,Fakhar Men,lattafa,,Eau de Parfum,Hombre,Fougère,589,100:589,,100,,,,,,,3,3,,,,,,si,
0010,,lattafa-fakhar-rose,Fakhar Rose,lattafa,,Eau de Parfum,Mujer,Floral,589,100:589,,100,,,,,,,3,3,,,,,,si,
0011,,orientica-royal-amber-80-ml,Royal Amber,orientica,,Eau de Parfum,Unisex,Oriental,,80:609,,80,,,,,,,3,3,,,,,,si,
0012,,rasasi-hawas-for-him,Hawas for Him,rasasi,,Eau de Parfum,Hombre,Acuático,589,100:589,,100,,,,,,,3,3,,,,,,si,
0013,,versace-eros-eau-de-toilette,Eros Eau de Toilette,versace,,Eau de Toilette,Hombre,Fougère,539,100:539,,100,,,,,,,3,3,,,,,si,si,
0014,,versace-eros-flame,Eros Flame,versace,,Eau de Parfum,Hombre,Amaderado,539,100:539,,100,,,,,,,3,3,,,,,si,si,
0015,,armaf-club-de-nuit-intense-man-105-ml,Club de Nuit Intense Man,armaf,,Eau de Toilette,Hombre,Chipre,,105:569,,105,,,,,,Más vendido,3,3,,si,,,,si,
0016,,armaf-club-de-nuit-woman-105-ml,Club de Nuit Woman,armaf,,Eau de Parfum,Mujer,Chipre,,105:569,,105,,,,,,,3,3,,,,,,si,
0017,0371,dior-sauvage,Sauvage,dior,,Eau de Toilette,Hombre,Fougère,539,100:539,,100,,,,,,Más vendido,3,3,,si,,,,si,Dos códigos en la misma fila
0018,,katy-perry-purr,Purr,katy-perry,,Eau de Parfum,Mujer,Floral,549,100:549,,100,,,,,,,3,3,,,,,,si,
0019,,ariana-grande-cloud,Cloud,ariana-grande,,Eau de Parfum,Mujer,Gourmand,589,100:589,,100,,,,,,,3,3,,,,,,si,
0020,,britney-spears-fantasy,Fantasy,britney-spears,,Eau de Parfum,Mujer,Gourmand,539,100:539,,100,,,,,,,3,3,,,,,si,si,
0021,,lancome-miracle,Miracle,lancome,,Eau de Parfum,Mujer,Floral,589,100:589,,100,,,,,,,3,3,,,,,,si,
0022,,chanel-coco-mademoiselle,Coco Mademoiselle,chanel,,Eau de Parfum,Mujer,Chipre,589,100:589,,100,,,,,,,3,3,,,,,,si,
0023,,dolce-gabbana-light-blue-summer-vibes,Light Blue Summer Vibes,dolce-gabbana,,Eau de Toilette,Mujer,Cítrico,589,100:589,,100,,,,,,,3,3,,,,,si,si,
0025,,lattafa-rave-now-black,Rave Now Black,lattafa,,Eau de Parfum,Hombre,Amaderado,539,100:539,,100,,,,,,,3,3,,,,,,si,
0026,,lattafa-rave-now-white,Rave Now White,lattafa,,Eau de Parfum,Unisex,Floral,539,100:539,,100,,,,,,,3,3,,,,,,si,
0027,,lattafa-qaed-al-fursan,Qaed Al Fursan,lattafa,,Eau de Parfum,Hombre,Cítrico,539,100:539,,100,,,,,,,3,3,,,,,,si,
0028,0297,afnan-9pm,9pm,afnan,,Eau de Parfum,Hombre,Oriental,589,100:589,,100,,,,,,Más vendido,3,3,,si,,,,si,"La celda dice ""Con caja de regalo: 235 pesos / Versión normal: 215 pesos"" pero el precio es 589"
0029,,chanel-bleu-de-chanel-eau-de-toilette,Bleu de Chanel Eau de Toilette,chanel,,Eau de Toilette,Hombre,Amaderado,539,100:539,,100,,,,,,,3,3,,,,,,si,
0030,,dolce-gabbana-light-blue,Light Blue,dolce-gabbana,,Eau de Toilette,Mujer,Cítrico,539,100:539,,100,,,,,,,3,3,,,,,,si,"El nombre no dice Light Blue; la foto sí"
0031,,lattafa-bade-e-al-oud-sublime,Bade'e Al Oud Sublime,lattafa,,Eau de Parfum,Unisex,Oriental,569,100:569,,100,,,,,,,3,3,,,,,,si,
0032,,lattafa-bade-e-al-oud-for-glory,Bade'e Al Oud for Glory,lattafa,,Eau de Parfum,Unisex,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,Nombre cortado
0033,,versace-bright-crystal,Bright Crystal,versace,,Eau de Toilette,Mujer,Floral,539,100:539,,100,,,,,,,3,3,,,,,,si,
0034,,versace-yellow-diamond-90-ml,Yellow Diamond,versace,,Eau de Toilette,Mujer,Floral,,90:539,,90,,,,,,,3,3,,,,,si,si,
0035,,montblanc-legend-spirit,Legend Spirit,montblanc,,Eau de Toilette,Hombre,Fougère,539,100:539,,100,,,,,,,3,3,,,,,si,si,
0036,,lacoste-touch-of-pink-90-ml,Touch of Pink,lacoste,,Eau de Toilette,Mujer,Floral,,90:599,,90,,,,,,,3,3,,,,,si,si,
0037,,burberry-brit-sheer,Brit Sheer,burberry,,Eau de Toilette,Mujer,Floral,599,100:599,,100,,,,,,,3,3,,,,,,si,
0038,,issey-miyake-l-eau-d-issey,L'Eau d'Issey,issey-miyake,,Eau de Toilette,Mujer,Floral,599,100:599,,100,,,,,,,3,3,,,,,,si,
0039,,afnan-9am-dive,9am Dive,afnan,,Eau de Parfum,Unisex,Acuático,609,100:609,,100,,,,,,,3,3,,,,,,si,
0040,,paco-rabanne-invictus,Invictus,paco-rabanne,,Eau de Toilette,Hombre,Acuático,539,100:539,,100,,,,,,Más vendido,3,3,,si,,,,si,
0041,,versace-pour-homme,Pour Homme,versace,,Eau de Toilette,Hombre,Fougère,539,100:539,,100,,,,,,,3,3,,,,,,si,
0042,,jean-paul-gaultier-le-male-125-ml,Le Male,jean-paul-gaultier,,Eau de Toilette,Hombre,Fougère,,125:569,,125,,,,,,,3,3,,,,,,si,
0043,,versace-eros-eau-de-parfum,Eros Eau de Parfum,versace,,Eau de Parfum,Hombre,Fougère,539,100:539,,100,,,,,,,3,3,,,,,si,si,Misma foto que 0013 (Eros EDT)
0044,,versace-man-eau-fraiche,Man Eau Fraîche,versace,,Eau de Toilette,Hombre,Acuático,539,100:539,,100,,,,,,,3,3,,,,,,si,
0045,,giorgio-armani-acqua-di-gio-profondo-0045,Acqua di Giò Profondo,giorgio-armani,,Eau de Parfum,Hombre,Acuático,539,100:539,,100,,,,,,,3,3,,,,,si,no,"Se repite como 0321 (disponible) · Oculto: Mismo producto que 0321 (Acqua di Giò Profondo). Se publica 0321, que está disponible"
FT046,,valentino-uomo-born-in-roma,Uomo Born in Roma,valentino,,Eau de Toilette,Hombre,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,Código con prefijo FT
FT047,,valentino-uomo-born-in-roma-coral-fantasy,Uomo Born in Roma Coral Fantasy,valentino,,Eau de Toilette,Hombre,Fougère,569,100:569,,100,,,,,,,3,3,,,,,,si,"Nombre cortado en el catálogo; variante deducida de la foto — confirmar"
0048,,ariana-grande-thank-u-next,"Thank U, Next",ariana-grande,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,,3,3,,,,,,si,
0049,,moschino-toy-2-bubble-gum,Toy 2 Bubble Gum,moschino,,Eau de Toilette,Mujer,Floral,549,100:549,,100,,,,,,,3,3,,,,,,si,
0050,,moschino-toy-2,Toy 2,moschino,,Eau de Parfum,Mujer,Floral,549,100:549,,100,,,,,,,3,3,,,,,,si,
0051,,calvin-klein-ck-one,CK One,calvin-klein,,Eau de Toilette,Unisex,Cítrico,529,100:529,,100,,,,,,,3,3,,,,,,si,
0052,,calvin-klein-ck-be,CK Be,calvin-klein,,Eau de Toilette,Unisex,Fougère,529,100:529,,100,,,,,,,3,3,,,,,,si,
0053,,armaf-club-de-nuit-urban-man-105-ml,Club de Nuit Urban Man,armaf,,Eau de Parfum,Hombre,Amaderado,,105:549,,105,,,,,,,3,3,,,,,,si,
0054,,versace-dylan-blue-pour-homme,Dylan Blue Pour Homme,versace,,Eau de Toilette,Hombre,Fougère,539,100:539,,100,,,,,,,3,3,,,,,,si,
0055,,versace-crystal-noir-90-ml,Crystal Noir,versace,,Eau de Toilette,Mujer,Oriental,,90:539,,90,,,,,,,3,3,,,,,si,si,
0056,,versace-dylan-turquoise,Dylan Turquoise,versace,,Eau de Toilette,Mujer,Cítrico,539,100:539,,100,,,,,,,3,3,,,,,si,si,
0057,,armaf-club-de-nuit-sillage-105-ml-0057,Club de Nuit Sillage,armaf,,Eau de Parfum,Hombre,Cítrico,,105:569,,105,,,,,,,3,3,,,,,,no,"Se repite como 0160 con otro precio (619) · Oculto: Duplicado de 0160 (Club de Nuit Sillage) con otro precio: $569 contra $619. Se publica 0160; confirmar precio"
0059,,dolce-gabbana-light-blue-125-ml,Light Blue,dolce-gabbana,,Eau de Toilette,Mujer,Cítrico,,125:539,,125,,,,,,,3,3,,,,,si,si,
0060,,ariana-grande-sweet-like-candy,Sweet Like Candy,ariana-grande,,Eau de Parfum,Mujer,Gourmand,539,100:539,,100,,,,,,,3,3,,,,,,si,
0061,,yves-saint-laurent-y,Y,yves-saint-laurent,,Eau de Parfum,Hombre,Fougère,539,100:539,,100,,,,,,,3,3,,,,,,si,
0062,,giorgio-armani-acqua-di-gio,Acqua di Giò,giorgio-armani,,Eau de Toilette,Hombre,Acuático,549,100:549,,100,,,,,,,3,3,,,,,,si,
0063,,rasasi-hawas-ice,Hawas Ice,rasasi,,Eau de Parfum,Hombre,Acuático,604,100:604,,100,,,,,,,3,3,,,,,,si,
0066,,moschino-toy-boy,Toy Boy,moschino,,Eau de Parfum,Hombre,Especiado,549,100:549,,100,,,,,,,3,3,,,,,si,si,Nombre incompleto
0067,,ariana-grande-moonlight,Moonlight,ariana-grande,,Eau de Parfum,Mujer,Gourmand,539,100:539,,100,,,,,,,3,3,,,,,,si,
0068,,cacharel-amor-amor,Amor Amor,cacharel,,Eau de Toilette,Mujer,Floral,539,100:539,,100,,,,,,,3,3,,,,,,si,
0069,,katy-perry-meow,Meow,katy-perry,,Eau de Parfum,Mujer,Gourmand,549,100:549,,100,,,,,,,3,3,,,,,,si,
0070,,lattafa-eclaire,Éclaire,lattafa,,Eau de Parfum,Mujer,Gourmand,619,100:619,,100,,,,,,,3,3,,,,,,si,
0071,,rasasi-hawas-black,Hawas Black,rasasi,,Eau de Parfum,Hombre,Amaderado,589,100:589,,100,,,,,,,3,3,,,,,,si,
0072,,rasasi-hawas-fire,Hawas Fire,rasasi,,Eau de Parfum,Hombre,Especiado,589,100:589,,100,,,,,,,3,3,,,,,,si,
0073,0329,armaf-odyssey-mandarin-sky,Odyssey Mandarin Sky,armaf,,Eau de Parfum,Hombre,Gourmand,609,100:609,,100,,,,,,,3,3,,,,,,si,Dos códigos en la misma fila
0074,,lattafa-her-confession,Her Confession,lattafa,,Eau de Parfum,Mujer,Oriental,725,100:725,,100,,,,,,,3,3,,,,,,si,
0075,,lattafa-his-confession,His Confession,lattafa,,Eau de Parfum,Hombre,Oriental,725,100:725,,100,,,,,,,3,3,,,,,,si,
0076,,paris-corner-khair-confection,Khair Confection,paris-corner,,Eau de Parfum,Unisex,Gourmand,589,100:589,,100,,,,,,,3,3,,,,,si,si,
0077,,paris-corner-khair-pistachio,Khair Pistachio,paris-corner,,Eau de Parfum,Unisex,Gourmand,589,100:589,,100,,,,,,,3,3,,,,,si,si,
0078,,lattafa-teriaq,Teriaq,lattafa,,Eau de Parfum,Unisex,Gourmand,682,100:682,,100,,,,,,,3,3,,,,,si,si,
0079,,paris-hilton-for-men,for Men,paris-hilton,,Eau de Toilette,Hombre,Cítrico,569,100:569,,100,,,,,,,3,3,,,,,,si,
0080,,lattafa-rave-now-red,Rave Now Red,lattafa,,Eau de Parfum,Unisex,Oriental,539,100:539,,100,,,,,,,3,3,,,,,si,si,
0081,,davidoff-cool-water-125-ml,Cool Water,davidoff,,Eau de Toilette,Hombre,Acuático,,125:569,,125,,,,,,,3,3,,,,,,si,
0082,,jean-paul-gaultier-scandal-pour-homme,Scandal Pour Homme,jean-paul-gaultier,,Eau de Toilette,Hombre,Oriental,569,100:569,,100,,,,,,,3,3,,,,,,si,
0083,,perry-ellis-reserve-for-men,Reserve for Men,perry-ellis,,Eau de Toilette,Hombre,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,si,si,
0084,,perry-ellis-360,360°,perry-ellis,,Eau de Toilette,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0085,,perry-ellis-360-red,360° Red,perry-ellis,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,si,si,
0086,,calvin-klein-eternity-for-women,Eternity for Women,calvin-klein,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,si,si,
0087,,dkny-be-delicious-fresh-blossom,Be Delicious Fresh Blossom,dkny,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0088,,valentino-uomo-born-in-roma-intense,Uomo Born in Roma Intense,valentino,,Eau de Parfum,Hombre,Oriental,569,100:569,,100,,,,,,,3,3,,,,,,si,
0092,,chanel-bleu-de-chanel-eau-de-parfum,Bleu de Chanel Eau de Parfum,chanel,,Eau de Parfum,Hombre,Amaderado,539,100:539,,100,,,,,,Más vendido,3,3,,si,,,,si,
0093,,armaf-odyssey-mega,Odyssey Mega,armaf,,Eau de Parfum,Hombre,Cítrico,609,100:609,,100,,,,,,,3,3,,,,,,si,
0094,,orientica-oud-saffron,Oud Saffron,orientica,,Eau de Parfum,Unisex,Especiado,609,100:609,,100,,,,,,,3,3,,,,,si,si,
0095,,orientica-amber-rouge,Amber Rouge,orientica,,Eau de Parfum,Unisex,Oriental,609,100:609,,100,,,,,,,3,3,,,,,,si,
0096,,orientica-royal-blue,Royal Blue,orientica,,Eau de Parfum,Unisex,Oriental,609,100:609,,100,,,,,,,3,3,,,,,,si,
0097,,lattafa-musamam,Musamam,lattafa,,Eau de Parfum,Unisex,Oriental,646,100:646,,100,,,,,,,3,3,,,,,,si,
0098,,lattafa-musamam-white-intense,Musamam White Intense,lattafa,,Eau de Parfum,Unisex,Oriental,646,100:646,,100,,,,,,,3,3,,,,,,si,
0099,0390,le-labo-santal-33,Santal 33,le-labo,,Eau de Parfum,Unisex,Amaderado,589,100:589,,100,,,,,,,3,3,,,,,si,si,Dos códigos en la misma fila
0100,,armaf-odyssey-candee,Odyssey Candee,armaf,,Eau de Parfum,Mujer,Gourmand,609,100:609,,100,,,,,,,3,3,,,,,,si,
0101,,asdaaf-ameer-al-arab,Ameer Al Arab,asdaaf,,Eau de Parfum,Hombre,Oriental,569,100:569,,100,,,,,,,3,3,,,,,,si,
0102,,asdaaf-ameerat-al-arab,Ameerat Al Arab,asdaaf,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0103,,asdaaf-ameerat-al-arab-prive-rose,Ameerat Al Arab Privé Rose,asdaaf,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0104,,asdaaf-ameer-al-arab-imperium,Ameer Al Arab Imperium,asdaaf,,Eau de Parfum,Hombre,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0105,,jean-paul-gaultier-ultra-male-125-ml,Ultra Male,jean-paul-gaultier,,Eau de Toilette,Hombre,Gourmand,,125:558,,125,,,,,,,3,3,,,,,,si,
0106,,dkny-be-delicious,Be Delicious,dkny,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0107,,lattafa-asad-bourbon,Asad Bourbon,lattafa,,Eau de Parfum,Hombre,Especiado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0108,,ariana-grande-ari,Ari,ariana-grande,,Eau de Parfum,Mujer,Gourmand,569,100:569,,100,,,,,,,3,3,,,,,si,si,
0111,,gissah-la-luna-200-ml,La Luna,gissah,,Eau de Parfum,Unisex,Oriental,,200:719,,200,,,,,,,3,3,,,,,,si,
0112,,gissah-hudson-valley-200-ml,Hudson Valley,gissah,,Eau de Parfum,Unisex,Amaderado,,200:719,,200,,,,,,,3,3,,,,,,si,
0113,,lattafa-ra-ed-luxe-gold,Ra'ed Luxe Gold,lattafa,,Eau de Parfum,Unisex,Oriental,609,100:609,,100,,,,,,,3,3,,,,,,si,
0115,,davidoff-cool-water-woman,Cool Water Woman,davidoff,,Eau de Toilette,Mujer,Acuático,609,100:609,,100,,,,,,,3,3,,,,,,si,
0116,,dior-fahrenheit,Fahrenheit,dior,,Eau de Toilette,Hombre,Amaderado,609,100:609,,100,,,,,,,3,3,,,,,,si,
0117,,ralph-lauren-polo-sport-125-ml,Polo Sport,ralph-lauren,,Eau de Toilette,Hombre,Acuático,,125:609,,125,,,,,,,3,3,,,,,,si,
0119,,salvatore-ferragamo-incanto-shine,Incanto Shine,salvatore-ferragamo,,Eau de Toilette,Mujer,Floral,609,100:609,,100,,,,,,,3,3,,,,,,si,
0120,,clinique-happy-for-men,Happy for Men,clinique,,Eau de Cologne,Hombre,Cítrico,609,100:609,,100,,,,,,,3,3,,,,,si,si,
0121,,lacoste-l-12-12-blanc,L.12.12 Blanc,lacoste,,Eau de Toilette,Hombre,Cítrico,609,100:609,,100,,,,,,,3,3,,,,,si,si,
0122,,creed-aventus,Aventus,creed,,Eau de Parfum,Hombre,Chipre,612,100:612,,100,,,,,,,3,3,,,,,,si,
0123,,nautica-voyage,Voyage,nautica,,Eau de Toilette,Hombre,Acuático,534,100:534,,100,,,,,,,3,3,,,,,,si,
0124,,armaf-club-de-nuit-iconic-105-ml,Club de Nuit Iconic,armaf,,Eau de Parfum,Hombre,Amaderado,,105:619,,105,,,,,,,3,3,,,,,,si,
0126,,lattafa-nombre-por-confirmar-0126,(nombre por confirmar),lattafa,,Eau de Parfum,Unisex,Oriental,589,100:589,,100,,,,,,,3,3,,,,,,no,"Nombre incompleto: sólo dice ""Edp Lattafa, 100"" · Oculto: Nombre incompleto en el PDF («Edp Lattafa, 100»): falta identificarlo"
0127,,lattafa-nombre-por-confirmar-0127,(nombre por confirmar),lattafa,,Eau de Parfum,Mujer,Floral,589,100:589,,100,,,,,,,3,3,,,,,si,no,"Nombre incompleto: sólo dice ""Edp Lattafa, 100"" · Oculto: Nombre incompleto en el PDF («Edp Lattafa, 100»): falta identificarlo"
0128,,sultan-al-quloob,Sultan Al Quloob,otras-casas,,Eau de Parfum,Unisex,Oriental,543,100:543,,100,,,,,,,3,3,,,,,,si,
0129,,lattafa-musk-mood,Musk Mood,lattafa,,Eau de Parfum,Unisex,Floral,589,100:589,,100,,,,,,,3,3,,,,,si,si,
0130,,lattafa-oud-mood-elixir,Oud Mood Elixir,lattafa,,Eau de Parfum,Unisex,Amaderado,589,100:589,,100,,,,,,,3,3,,,,,,si,
0131,,lattafa-oud-mood-reminiscence,Oud Mood Reminiscence,lattafa,,Eau de Parfum,Unisex,Amaderado,589,100:589,,100,,,,,,,3,3,,,,,,si,
0132,,lattafa-khamrah-50-ml,Khamrah,lattafa,,Eau de Parfum,Unisex,Oriental,,50:529,,50,,,,,,,3,3,,,,,,si,
0133,,lattafa-khamrah-qahwa-50-ml,Khamrah Qahwa,lattafa,,Eau de Parfum,Unisex,Gourmand,,50:529,,50,,,,,,,3,3,,,,,,si,
0134,,lattafa-khamrah-dukhan-50-ml,Khamrah Dukhan,lattafa,,Eau de Parfum,Unisex,Especiado,,50:529,,50,,,,,,,3,3,,,,,,si,
0136,,valentino-donna-born-in-roma-intense,Donna Born in Roma Intense,valentino,,Eau de Parfum,Mujer,Oriental,569,100:569,,100,,,,,,,3,3,,,,,si,si,
0137,,valentino-donna-born-in-roma-pink-pp,Donna Born in Roma Pink PP,valentino,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0138,,valentino-donna-born-in-roma-the-gold,Donna Born in Roma The Gold,valentino,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0139,,valentino-donna-born-in-roma-coral-fantasy,Donna Born in Roma Coral Fantasy,valentino,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0140,,valentino-uomo-born-in-roma-the-gold,Uomo Born in Roma The Gold,valentino,,Eau de Toilette,Hombre,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0141,,perry-ellis-360-for-men,360° for Men,perry-ellis,,Eau de Toilette,Hombre,Fougère,569,100:569,,100,,,,,,,3,3,,,,,,si,
0142,,perry-ellis-reserve,Reserve,perry-ellis,,Eau de Toilette,Hombre,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0144,,jean-paul-gaultier-scandal-pour-homme-intense,Scandal Pour Homme Intense,jean-paul-gaultier,,Eau de Parfum,Hombre,Oriental,569,100:569,,100,,,,,,,3,3,,,,,,si,
0145,,chanel-coco-mademoiselle-l-eau-privee,Coco Mademoiselle L'Eau Privée,chanel,,Eau de Toilette,Mujer,Floral,589,100:589,,100,,,,,,,3,3,,,,,si,si,
0146,0373,dior-sauvage-parfum,Sauvage Parfum,dior,,Parfum,Hombre,Amaderado,539,100:539,,100,,,,,,,3,3,,,,,,si,Dos códigos en la misma fila
0147,,lancome-la-vie-est-belle,La Vie Est Belle,lancome,,Eau de Parfum,Mujer,Gourmand,534,100:534,,100,,,,,,Más vendido,3,3,,si,,,,si,
0148,,hugo-boss-hugo-just-different-125-ml,Hugo Just Different,hugo-boss,,Eau de Toilette,Hombre,Fougère,,125:534,,125,,,,,,,3,3,,,,,,si,
0149,,armaf-odyssey-limoni-fresh,Odyssey Limoni Fresh,armaf,,Eau de Parfum,Hombre,Cítrico,609,100:609,,100,,,,,,,3,3,,,,,,si,
0150,,armaf-odyssey-spectra,Odyssey Spectra,armaf,,Eau de Parfum,Hombre,Amaderado,609,100:609,,100,,,,,,,3,3,,,,,,si,
0151,,armaf-odyssey-dubai-chocolat,Odyssey Dubai Chocolat,armaf,,Eau de Parfum,Unisex,Gourmand,609,100:609,,100,,,,,,,3,3,,,,,,si,
0152,,hugo-boss-hugo-iced-125-ml,Hugo Iced,hugo-boss,,Eau de Toilette,Hombre,Acuático,,125:534,,125,,,,,,,3,3,,,,,,si,
0153,,hugo-boss-hugo-man-125-ml,Hugo Man,hugo-boss,,Eau de Toilette,Hombre,Fougère,,125:534,,125,,,,,,,3,3,,,,,si,si,
0154,,jean-paul-gaultier-le-beau-le-parfum-intense-125-ml,Le Beau Le Parfum Intense,jean-paul-gaultier,,Eau de Parfum,Hombre,Oriental,,125:599,,125,,,,,,,3,3,,,,,,si,
0155,,jean-paul-gaultier-le-male-le-parfum-125-ml,Le Male Le Parfum,jean-paul-gaultier,,Eau de Parfum,Hombre,Oriental,,125:599,,125,,,,,,,3,3,,,,,,si,
0156,,jean-paul-gaultier-le-male-elixir-125-ml,Le Male Elixir,jean-paul-gaultier,,Parfum,Hombre,Oriental,,125:599,,125,,,,,,,3,3,,,,,,si,
0157,,jean-paul-gaultier-le-beau-flower-edition,Le Beau Flower Edition,jean-paul-gaultier,,Eau de Parfum,Hombre,Floral,599,100:599,,100,,,,,,,3,3,,,,,si,si,
0158,0399,armaf-club-de-nuit-urban-man-elixir-105-ml,Club de Nuit Urban Man Elixir,armaf,,Eau de Parfum,Hombre,Amaderado,,105:569,,105,,,,,,,3,3,,,,,,si,Dos códigos en la misma fila
0159,,bond-no-9-bleecker-street,Bleecker Street,bond-no-9,,Eau de Parfum,Unisex,Amaderado,589,100:589,,100,,,,,,,3,3,,,,,,si,
0160,,armaf-club-de-nuit-sillage-105-ml,Club de Nuit Sillage,armaf,,Eau de Parfum,Hombre,Cítrico,,105:619,,105,,,,,,,3,3,,,,,,si,"Mismo producto que 0057, que cuesta 569"
0161,,montblanc-explorer,Explorer,montblanc,,Eau de Parfum,Hombre,Amaderado,560,100:560,,100,,,,,,,3,3,,,,,,si,
0162,,afnan-9pm-elixir,9pm Elixir,afnan,,Parfum,Hombre,Oriental,609,100:609,,100,,,,,,,3,3,,,,,,si,
0163,,hugo-boss-boss-bottled-oud-saffron,Boss Bottled Oud Saffron,hugo-boss,,Eau de Parfum,Hombre,Especiado,551,100:551,,100,,,,,,,3,3,,,,,si,si,
0164,,hugo-boss-boss-bottled-absolu,Boss Bottled Absolu,hugo-boss,,Parfum,Hombre,Amaderado,551,100:551,,100,,,,,,,3,3,,,,,si,si,
0165,,hugo-boss-boss-bottled-bold-citrus,Boss Bottled Bold Citrus,hugo-boss,,Eau de Toilette,Hombre,Cítrico,551,100:551,,100,,,,,,,3,3,,,,,,si,
0166,,hugo-boss-boss-bottled-night,Boss Bottled Night,hugo-boss,,Eau de Toilette,Hombre,Amaderado,551,100:551,,100,,,,,,,3,3,,,,,,si,
0167,,paris-hilton-paris-hilton,Paris Hilton,paris-hilton,,Eau de Parfum,Mujer,Floral,569,100:569,,100,,,,,,,3,3,,,,,,si,
0168,,rasasi-hawas-tropical,Hawas Tropical,rasasi,,Eau de Parfum,Hombre,Cítrico,604,100:604,,100,,,,,,,3,3,,,,,,si,
0169,,lattafa-angham,Angham,lattafa,,Eau de Parfum,Unisex,Floral,609,100:609,,100,,,,,,,3,3,,,,,,si,
0170,,rasasi-hawas-for-her,Hawas for Her,rasasi,,Eau de Parfum,Mujer,Floral,604,100:604,,100,,,,,,,3,3,,,,,,si,
0171,,armaf-odyssey-wild-one-gold-edition,Odyssey Wild One Gold Edition,armaf,,Eau de Parfum,Hombre,Amaderado,609,100:609,,100,,,,,,,3,3,,,,,,si,
0172,,armaf-odyssey-aoud,Odyssey Aoud,armaf,,Eau de Parfum,Hombre,Amaderado,609,100:609,,100,,,,,,,3,3,,,,,,si,
0173,,armaf-odyssey-artisto-red-edition,Odyssey Artisto Red Edition,armaf,,Eau de Parfum,Hombre,Especiado,609,100:609,,100,,,,,,,3,3,,,,,,si,
0174,,armaf-odyssey-mandarin-sky-elixir,Odyssey Mandarin Sky Elixir,armaf,,Eau de Parfum,Hombre,Gourmand,609,100:609,,100,,,,,,,3,3,,,,,,si,
0175,,lattafa-hayaati,Hayaati,lattafa,,Eau de Parfum,Hombre,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0176,,lattafa-hayaati-al-maleky,Hayaati Al Maleky,lattafa,,Eau de Parfum,Unisex,Amaderado,569,100:569,,100,,,,,,,3,3,,,,,,si,
0180,,dumont-nitro-red,Nitro Red,dumont,,Eau de Parfum,Hombre,Especiado,646,100:646,,100,,,,,,,3,3,,,,,si,si,
0181,,dumont-nitro-green,Nitro Green,dumont,,Eau de Parfum,Hombre,Amaderado,646,100:646,,100,,,,,,,3,3,,,,,,si,El catálogo dice Nitro Green pero la caja de la foto dice Nitro Black
